Distance,Angle
754,0.856934
753,1.88965
748,2.91687
746,3.93311
743,4.83948
741,5.99854
739,7.03125
736,8.16833
734,9.07471
736,10.1074
733,11.261
732,12.2772
732,13.1836
732,14.2163
731,15.249
733,16.2653
734,17.2925
733,18.4515
734,19.3579
737,20.3741
739,21.4014
739,22.5604
743,23.5931
745,24.483
747,25.5103
752,26.4166
753,27.5757
757,28.4656
760,29.4983
765,30.6519
769,31.6846
771,32.7008
778,33.6072
782,34.7607
788,35.6671
794,36.6833
798,37.7161
804,38.606
812,39.6387
819,40.6714
828,41.6821
835,42.7148
845,43.7476
850,44.7638
861,45.9174
869,46.8237
877,47.84
889,48.7463
907,49.7791
916,50.7953
932,51.828
938,52.8552
951,53.8715
971,54.9042
990,55.8105
999,56.8268
1010,57.854
1031,58.8867
1045,59.903
1072,60.8093
1094,61.842
1116,62.8583
1139,63.7646
1162,64.7919
1187,65.8081
1212,66.8408
1245,67.8735
1281,68.8898
1328,69.7797
1348,70.8124
1373,71.8231
1408,72.7185
1447,73.7457
1499,74.762
1539,75.7947
1592,76.8109
1645,77.7008
1693,78.7335
1762,79.7498
1818,80.7605
1747,113.483
1728,114.51
1782,115.527
1712,122.701
1705,123.717
1710,124.75
3970,143.718
3950,144.745
3912,145.761
3963,146.794
3962,147.827
4127,149.87
1843,153.452
1821,154.484
1839,155.511
1806,160.637
1821,161.669
3569,164.372
3663,165.405
3821,166.421
3942,167.327
521,199.605
506,200.891
504,201.918
503,203.077
504,204.104
505,204.906
506,205.933
507,207.219
507,208.125
508,209.042
511,210.328
514,211.234
516,212.141
518,213.058
522,214.217
525,215.25
528,216.156
533,217.2
535,218.359
541,219.265
546,220.172
552,221.342
558,222.374
563,223.154
568,224.434
575,225.357
585,226.263
594,227.17
602,228.323
610,229.246
625,230.279
7282,242.655
7527,243.699
7552,244.731
7585,245.764
7109,248.873
7651,254.059
7707,255.092
7721,256.135
3103,260.53
3144,262.606
2649,267.902
3316,268.824
3323,269.857
3362,270.89
3389,271.917
3394,272.966
3432,273.999
3446,275.026
3465,276.075
4187,276.982
4195,278.015
4221,279.042
4228,280.091
4237,281.124
4279,282.151
4288,283.2
4298,284.233
4309,285.266
4370,286.293
4385,287.342
4389,288.375
4482,289.402
4508,290.451
4531,292.511
4533,293.544
4544,294.593
4556,295.62
4601,296.653
4620,297.702
4641,298.729
4661,299.762
4659,300.795
4695,301.838
4732,302.871
2323,304.277
2212,305.31
2102,306.359
2000,307.386
1901,308.419
1815,309.589
1756,310.622
1678,311.655
1616,312.808
1563,313.857
1514,314.89
1473,315.917
1417,317.093
1373,318.12
1332,319.153
1299,320.312
1263,321.356
1231,322.388
1195,323.421
1170,324.591
1146,325.497
1115,326.651
1090,327.684
1072,328.733
1050,329.766
1029,330.919
1011,331.968
996,333.122
983,334.028
959,335.187
944,336.231
933,337.264
916,338.297
907,339.324
892,340.499
878,341.526
869,342.559
861,343.592
851,344.636
841,345.795
831,346.701
823,347.734
817,348.777
808,349.937
799,351.09
796,351.87
787,353.655
782,354.562
777,355.578
771,356.732
769,357.638
764,358.792
