Motorspeed_L,Motorspeed_R
0.365572,0.400169
0.132935,0.13339
-0.0332338,-0.0666948
-0.0664676,-0.166737
-0.0664676,-0.13339
-0.0332338,-0.100042
0,-0.0333474
0.0332338,0
0.0664676,0.0666948
0.132935,0.0666948
0.0997014,0.0666948
0.0997014,0.0666948
0.132935,0.0666948
0.0997014,0.0666948
0.0997014,0.100042
0.166169,0.100042
0.199403,0.166737
0.199403,0.100042
0.232637,0.100042
0.232637,0.13339
0.199403,0.100042
0.166169,0.13339
0.132935,0.100042
0.199403,0.13339
0.232637,0.13339
0.265871,0.100042
0.265871,0.13339
0.232637,0.166737
0.299104,0.233432
0.332338,0.233432
0.332338,0.233432
0.398806,0.233432
0.365572,0.266779
0.365572,0.333474
0.365572,0.366821
0.43204,0.400169
0.531741,0.400169
0.531741,0.400169
0.531741,0.400169
0.564975,0.466864
0.531741,0.466864
0.498507,0.500211
0.564975,0.566906
0.631442,0.600253
0.664676,0.600253
0.731144,0.633601
0.731144,0.600253
0.731144,0.633601
0.731144,0.633601
0.764378,0.666948
0.764378,0.700296
0.797612,0.700296
0.830845,0.733643
0.864079,0.800338
0.930547,0.867033
0.930547,0.90038
0.963781,0.90038
0.997014,0.867033
0.864079,0.90038
0.963781,0.967075
0.997014,1.03377
0.997014,1.06712
0.997014,1.06712
1.09672,1.03377
1.09672,1.03377
1.12995,1.06712
1.09672,1.10046
1.06348,1.16716
1.06348,1.20051
1.09672,1.20051
1.12995,1.20051
1.16318,1.20051
1.19642,1.20051
1.16318,1.23385
1.19642,1.20051
1.16318,1.23385
1.19642,1.23385
1.19642,1.2672
1.22965,1.2672
1.26288,1.23385
1.19642,1.23385
1.16318,0.666948
1.12995,1.20051
1.09672,1.23385
1.12995,1.30055
1.12995,1.23385
1.12995,1.23385
1.12995,1.23385
1.16318,1.23385
1.16318,1.23385
1.16318,1.2672
1.16318,1.2672
1.16318,1.2672
1.19642,1.23385
1.19642,1.2672
1.19642,1.2672
1.16318,1.23385
1.16318,1.20051
1.16318,1.20051
1.16318,1.20051
1.16318,1.23385
1.12995,1.23385
1.09672,1.23385
1.06348,1.23385
1.09672,1.23385
1.06348,1.23385
1.12995,1.23385
1.12995,1.23385
1.12995,1.23385
1.12995,1.23385
0.930547,1.20051
1.09672,1.16716
1.12995,1.16716
1.09672,1.16716
1.12995,1.20051
1.09672,1.16716
1.09672,1.16716
1.12995,1.16716
1.26288,1.13381
1.06348,1.13381
1.12995,1.13381
1.12995,1.10046
1.12995,1.10046
1.09672,1.10046
1.12995,1.06712
1.12995,1.06712
1.12995,1.06712
1.12995,1.06712
1.09672,1.06712
1.09672,1.06712
1.09672,1.06712
1.09672,1.03377
1.09672,1.06712
1.09672,1.03377
1.09672,1.03377
1.06348,1.03377
1.09672,1.06712
1.06348,1.00042
1.06348,1.00042
1.09672,1.00042
1.03025,1.00042
1.09672,1.03377
1.09672,1.00042
1.06348,1.00042
1.06348,1.00042
1.06348,1.00042
0.963781,0.967075
1.09672,0.967075
1.09672,1.00042
1.06348,0.967075
1.06348,1.00042
1.09672,1.00042
1.03025,1.03377
1.09672,1.03377
1.09672,1.03377
1.09672,1.03377
1.06348,1.03377
1.03025,1.03377
1.03025,1.03377
0.997014,1.03377
0.997014,1.03377
0.963781,1.03377
0.930547,0.967075
0.963781,1.03377
0.963781,1.03377
1.03025,1.03377
0.897313,1.00042
0.930547,1.03377
0.930547,1.03377
0.963781,1.00042
1.03025,1.03377
0.864079,1.00042
0.930547,1.00042
0.997014,0.967075
0.997014,0.967075
0.963781,0.967075
1.49552,1.00042
0.963781,0.967075
0.864079,0.933727
0.897313,0.967075
0.930547,0.933727
0.963781,0.933727
0.997014,0.933727
0.997014,0.933727
0.930547,0.90038
0.897313,0.933727
0.930547,0.90038
0.997014,0.867033
1.03025,0.90038
1.09672,0.90038
0.997014,0.933727
0.963781,0.90038
0.963781,0.90038
0.963781,0.90038
0.997014,0.90038
0.997014,0.90038
0.997014,0.90038
1.03025,0.933727
0.997014,0.90038
0.997014,0.933727
0.963781,0.967075
0.997014,0.933727
0.997014,0.933727
1.06348,0.933727
1.09672,0.933727
1.09672,0.967075
0.930547,0.933727
0.897313,0.933727
0.930547,0.933727
0.930547,0.933727
